quote_date,underlying_last,expire_date,dte,c_last,strike,p_last
2021-01-04,129.45,2021-01-15,11.0,96.43,36.25,0.02
2021-01-04,129.45,2021-01-15,11.0,92.69,37.5,0.01
2021-01-04,129.45,2021-01-15,11.0,96.8,38.75,0.01
2021-01-04,129.45,2021-01-15,11.0,89.4,40.0,0.01
2021-01-04,129.45,2021-01-15,11.0,89.8,41.25,0.01
2021-01-04,129.45,2021-01-15,11.0,91.0,42.5,0.01
2021-01-04,129.45,2021-01-15,11.0,87.96,43.75,0.01
2021-01-04,129.45,2021-01-15,11.0,83.9,45.0,0.01
2021-01-04,129.45,2021-01-15,11.0,81.64,46.25,0.01
2021-01-04,129.45,2021-01-15,11.0,82.0,47.5,0.01
2021-01-04,129.45,2021-01-15,11.0,82.0,48.75,0.01
2021-01-04,129.45,2021-01-15,11.0,77.83,50.0,0.01
2021-01-04,129.45,2021-01-15,11.0,79.75,51.25,0.01
2021-01-04,129.45,2021-01-15,11.0,77.06,52.5,0.01
2021-01-04,129.45,2021-01-15,11.0,75.56,53.75,0.01
2021-01-04,129.45,2021-01-15,11.0,77.5,55.0,0.01
2021-01-04,129.45,2021-01-15,11.0,76.35,56.25,0.01
2021-01-04,129.45,2021-01-15,11.0,71.17,57.5,0.01
2021-01-04,129.45,2021-01-15,11.0,73.69,58.75,0.01
2021-01-04,129.45,2021-01-15,11.0,69.25,60.0,0.01
2021-01-04,129.45,2021-01-15,11.0,67.41,61.25,0.01
2021-01-04,129.45,2021-01-15,11.0,67.0,62.5,0.02
2021-01-04,129.45,2021-01-15,11.0,65.45,63.75,0.02
2021-01-04,129.45,2021-01-15,11.0,63.88,65.0,0.02
2021-01-04,129.45,2021-01-15,11.0,63.25,66.25,0.02
2021-01-04,129.45,2021-01-15,11.0,60.2,67.5,0.02
2021-01-04,129.45,2021-01-15,11.0,64.75,68.75,0.03
2021-01-04,129.45,2021-01-15,11.0,59.26,70.0,0.02
2021-01-04,129.45,2021-01-15,11.0,56.75,71.25,0.03
2021-01-04,129.45,2021-01-15,11.0,56.35,72.5,0.03
2021-01-04,129.45,2021-01-15,11.0,59.74,73.75,0.02
2021-01-04,129.45,2021-01-15,11.0,54.4,75.0,0.03
2021-01-04,129.45,2021-01-15,11.0,57.08,76.25,0.04
2021-01-04,129.45,2021-01-15,11.0,51.59,77.5,0.06
2021-01-04,129.45,2021-01-15,11.0,55.1,78.75,0.05
2021-01-04,129.45,2021-01-15,11.0,48.98,80.0,0.05
2021-01-04,129.45,2021-01-15,11.0,46.45,81.25,0.06
2021-01-04,129.45,2021-01-15,11.0,46.93,82.5,0.07
2021-01-04,129.45,2021-01-15,11.0,48.82,83.75,0.07
2021-01-04,129.45,2021-01-15,11.0,43.85,85.0,0.08
2021-01-04,129.45,2021-01-15,11.0,41.8,86.25,0.09
2021-01-04,129.45,2021-01-15,11.0,42.0,87.5,0.1
2021-01-04,129.45,2021-01-15,11.0,39.5,88.75,0.13
2021-01-04,129.45,2021-01-15,11.0,39.35,90.0,0.12
2021-01-04,129.45,2021-01-15,11.0,38.05,91.25,0.13
2021-01-04,129.45,2021-01-15,11.0,37.13,92.5,0.15
2021-01-04,129.45,2021-01-15,11.0,35.15,93.75,0.16
2021-01-04,129.45,2021-01-15,11.0,34.58,95.0,0.16
2021-01-04,129.45,2021-01-15,11.0,36.72,96.25,0.19
2021-01-04,129.45,2021-01-15,11.0,31.85,97.5,0.19
2021-01-04,129.45,2021-01-15,11.0,30.6,98.75,0.22
2021-01-04,129.45,2021-01-15,11.0,29.57,100.0,0.23
2021-01-04,129.45,2021-01-15,11.0,27.1,101.25,0.24
2021-01-04,129.45,2021-01-15,11.0,26.82,102.5,0.25
2021-01-04,129.45,2021-01-15,11.0,25.6,103.75,0.27
2021-01-04,129.45,2021-01-15,11.0,24.92,105.0,0.29
2021-01-04,129.45,2021-01-15,11.0,22.46,107.5,0.32
2021-01-04,129.45,2021-01-15,11.0,19.9,110.0,0.35
2021-01-04,129.45,2021-01-15,11.0,17.15,112.5,0.41
2021-01-04,129.45,2021-01-15,11.0,15.05,115.0,0.49
2021-01-04,129.45,2021-01-15,11.0,13.75,116.0,0.52
2021-01-04,129.45,2021-01-15,11.0,13.1,117.0,0.61
2021-01-04,129.45,2021-01-15,11.0,11.95,117.5,0.59
2021-01-04,129.45,2021-01-15,11.0,12.3,118.0,0.65
2021-01-04,129.45,2021-01-15,11.0,11.0,119.0,0.73
2021-01-04,129.45,2021-01-15,11.0,10.2,120.0,0.83
2021-01-04,129.45,2021-01-15,11.0,9.35,121.0,0.94
2021-01-04,129.45,2021-01-15,11.0,8.75,122.0,1.12
2021-01-04,129.45,2021-01-15,11.0,8.0,122.5,1.2
2021-01-04,129.45,2021-01-15,11.0,7.25,123.0,1.27
2021-01-04,129.45,2021-01-15,11.0,6.5,124.0,1.53
2021-01-04,129.45,2021-01-15,11.0,6.1,125.0,1.79
2021-01-04,129.45,2021-01-15,11.0,5.35,126.0,2.04
2021-01-04,129.45,2021-01-15,11.0,4.73,127.0,2.39
2021-01-04,129.45,2021-01-15,11.0,4.15,128.0,2.73
2021-01-04,129.45,2021-01-15,11.0,3.6,129.0,3.27
2021-01-04,129.45,2021-01-15,11.0,3.14,130.0,3.76
2021-01-04,129.45,2021-01-15,11.0,2.66,131.0,4.3
2021-01-04,129.45,2021-01-15,11.0,2.27,132.0,4.77
2021-01-04,129.45,2021-01-15,11.0,1.91,133.0,5.76
2021-01-04,129.45,2021-01-15,11.0,1.61,134.0,6.0
2021-01-04,129.45,2021-01-15,11.0,1.35,135.0,6.75
2021-01-04,129.45,2021-01-15,11.0,1.12,136.0,7.55
2021-01-04,129.45,2021-01-15,11.0,0.93,137.0,8.25
2021-01-04,129.45,2021-01-15,11.0,0.78,138.0,9.1
2021-01-04,129.45,2021-01-15,11.0,0.63,139.0,9.95
2021-01-04,129.45,2021-01-15,11.0,0.52,140.0,11.15
2021-01-04,129.45,2021-01-15,11.0,0.46,141.0,11.8
2021-01-04,129.45,2021-01-15,11.0,0.35,142.0,13.2
2021-01-04,129.45,2021-01-15,11.0,0.32,143.0,12.1
2021-01-04,129.45,2021-01-15,11.0,0.25,144.0,15.2
2021-01-04,129.45,2021-01-15,11.0,0.2,145.0,15.65
2021-01-04,129.45,2021-01-15,11.0,0.1,150.0,20.7
2021-01-04,129.45,2021-01-15,11.0,0.05,155.0,26.0
2021-01-04,129.45,2021-01-15,11.0,0.04,160.0,29.95
2021-01-04,129.45,2021-01-15,11.0,0.04,165.0,33.95
2021-01-04,129.45,2021-01-15,11.0,0.03,170.0,40.95
2021-01-04,129.45,2021-01-15,11.0,0.02,175.0,40.44
2021-01-04,129.45,2021-01-15,11.0,0.02,180.0,43.75
2021-01-04,129.45,2021-01-15,11.0,0.02,185.0,52.55
2021-01-04,129.45,2021-01-15,11.0,0.02,190.0,58.05
2021-01-04,129.45,2021-01-15,11.0,0.01,195.0,63.4
2021-01-04,129.45,2021-01-15,11.0,0.02,200.0,70.9
2021-01-04,129.45,2021-01-15,11.0,0.01,225.0,91.25
2021-01-04,129.45,2021-01-15,11.0,0.01,250.0,117.2
2021-01-04,129.45,2021-01-22,18.0,68.0,65.0,0.04
2021-01-04,129.45,2021-01-22,18.0,61.09,70.0,0.05
2021-01-04,129.45,2021-01-22,18.0,57.06,75.0,0.08
2021-01-04,129.45,2021-01-22,18.0,0.0,80.0,0.09
2021-01-04,129.45,2021-01-22,18.0,49.5,85.0,0.17
2021-01-04,129.45,2021-01-22,18.0,39.0,90.0,0.18
2021-01-04,129.45,2021-01-22,18.0,34.0,95.0,0.22
2021-01-04,129.45,2021-01-22,18.0,29.35,100.0,0.28
2021-01-04,129.45,2021-01-22,18.0,24.5,105.0,0.41
2021-01-04,129.45,2021-01-22,18.0,28.96,107.0,0.39
2021-01-04,129.45,2021-01-22,18.0,29.05,108.0,0.41
2021-01-04,129.45,2021-01-22,18.0,23.65,109.0,0.54
2021-01-04,129.45,2021-01-22,18.0,19.6,110.0,0.48
2021-01-04,129.45,2021-01-22,18.0,22.39,111.0,0.49
2021-01-04,129.45,2021-01-22,18.0,20.45,112.0,0.55
2021-01-04,129.45,2021-01-22,18.0,16.95,113.0,0.63
2021-01-04,129.45,2021-01-22,18.0,21.7,114.0,0.65
2021-01-04,129.45,2021-01-22,18.0,15.0,115.0,0.72
2021-01-04,129.45,2021-01-22,18.0,13.75,116.0,0.8
2021-01-04,129.45,2021-01-22,18.0,13.15,117.0,0.9
2021-01-04,129.45,2021-01-22,18.0,12.4,118.0,0.97
2021-01-04,129.45,2021-01-22,18.0,11.24,119.0,1.1
2021-01-04,129.45,2021-01-22,18.0,10.3,120.0,1.26
2021-01-04,129.45,2021-01-22,18.0,9.65,121.0,1.38
2021-01-04,129.45,2021-01-22,18.0,9.0,122.0,1.66
2021-01-04,129.45,2021-01-22,18.0,8.43,123.0,1.93
2021-01-04,129.45,2021-01-22,18.0,7.23,124.0,2.06
2021-01-04,129.45,2021-01-22,18.0,6.85,125.0,2.29
2021-01-04,129.45,2021-01-22,18.0,6.06,126.0,2.72
2021-01-04,129.45,2021-01-22,18.0,5.42,127.0,3.1
2021-01-04,129.45,2021-01-22,18.0,5.05,128.0,3.42
2021-01-04,129.45,2021-01-22,18.0,4.4,129.0,4.01
2021-01-04,129.45,2021-01-22,18.0,3.95,130.0,4.53
2021-01-04,129.45,2021-01-22,18.0,3.4,131.0,5.35
2021-01-04,129.45,2021-01-22,18.0,3.04,132.0,5.5
2021-01-04,129.45,2021-01-22,18.0,2.63,133.0,6.25
2021-01-04,129.45,2021-01-22,18.0,2.32,134.0,6.95
